,0,1,2,sentiment
32,2020-11-30 23:15:39,1.33355E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/sHSZ8Wgpqx,2
33,2020-11-30 21:30:00,1.33352E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/x5OpAmkX6o,2
34,2020-11-30 21:11:24,1.33352E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/EyMD31uHbL,2
35,2020-11-30 21:06:14,1.33352E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/1UkY2685wW,2
36,2020-11-30 20:31:30,1.33351E+18,Want a chance to #win a Cookware Set from @carawayhome? Enter this #sweepstakes with @asweatlife! https://t.co/530ChX1MUJ,2
37,2020-11-30 19:41:51,1.3335E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/rvFV2R42or,2
38,2020-11-30 19:26:39,1.33349E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/1nFXEF7Do6,2
39,2020-11-30 19:13:15,1.33349E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/jp3pX0c3XA,2
40,2020-11-30 17:16:27,1.33346E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/uQTUcaEc9Y,2
41,2020-11-30 16:01:29,1.33344E+18,"RT @brevsin: If you're still cooking on Teflon, I feel bad for you son

I got 99 problems but Caraway solves one

@CarawayHome #DarkWaters…",3
42,2020-11-30 15:54:06,1.33344E+18,"If you're still cooking on Teflon, I feel bad for you son

I got 99 problems but Caraway solves one

@CarawayHome #DarkWaters #Teflon

https://t.co/ipZJPwLKoI",3
43,2020-11-30 15:25:15,1.33343E+18,I just wrote a review on Cookware Set https://t.co/pJm5FXZSOh via @yotpo,3
44,2020-11-30 15:24:44,1.33343E+18,@CarawayHome Ya gotta have an extra hiding in the back. Lol,3
45,2020-11-30 15:21:06,1.33343E+18,"Last chance for up to 20% off everything, including the fan-favorite Cookware Set. Don’t say we didn’t warn you. https://t.co/YJ3ZW6qyPZ",3
46,2020-11-30 14:42:35,1.33342E+18,I just wrote a review on Cookware Set https://t.co/pn05sCTRae via @yotpo,3
47,2020-11-30 12:47:04,1.33339E+18,Want a chance to win a Cookware Set from @carawayhome? Enter this sweepstakes with @asweatlife! https://t.co/Q0yUGmqYi0,3
